ID Num, fH, fD, fT, f3He,Abar,Zbar
100,0,0.5,0.5,0,2.5,1
101,0,1,0,0,2,1
102,0,1,0,0,2,1
103,0,0,0,1,3,2
286,0,0.77778,0,0.22222,2.22222,1.22222
291,0,0.27273,0,0.72727,2.72727,1.72727
292,0,0.073171,0,0.926829,2.926829,1.926829
294,0,0.77778,0,0.22222,2.22222,1.22222
295,0,0.5,0,0.5,2.5,1.5
298,0,0.28821,0,0.71179,2.71179,1.71179
150,0,0,0,0,20,10
